Cores,N,Size,Iterations,Time
1,100,0,217,4
1,100,0,217,4
1,100,0,217,4
1,100,0,217,4
1,100,0,217,4
1,200,0,365,28
1,200,0,365,29
1,200,0,365,28
1,200,0,365,30
1,200,0,365,28
1,300,0,445,79
1,300,0,445,79
1,300,0,445,79
1,300,0,445,79
1,300,0,445,79
1,400,1,445,140
1,400,1,445,139
1,400,1,445,140
1,400,1,445,141
1,400,1,445,140
1,500,1,445,222
1,500,1,445,219
1,500,1,445,233
1,500,1,445,227
1,500,1,445,238
1,600,2,445,351
1,600,2,445,354
1,600,2,445,355
1,600,2,445,337
1,600,2,445,336
1,700,3,445,471
1,700,3,445,460
1,700,3,445,465
1,700,3,445,465
1,700,3,445,461
1,800,4,445,607
1,800,4,445,652
1,800,4,445,644
1,800,4,445,626
1,800,4,445,613
1,900,6,445,770
1,900,6,445,769
1,900,6,445,1262
1,900,6,445,1764
1,900,6,445,1768
1,1000,7,445,3750
1,1000,7,445,2484
1,1000,7,445,1015
1,1000,7,445,1044
1,1000,7,445,1002
1,1100,9,445,1160
1,1100,9,445,1165
1,1100,9,445,1171
1,1100,9,445,1181
1,1100,9,445,1166
1,1200,10,445,1394
1,1200,10,445,1394
1,1200,10,445,1408
1,1200,10,445,4072
1,1200,10,445,5912
1,1300,12,445,1939
1,1300,12,445,1632
1,1300,12,445,1625
1,1300,12,445,1633
1,1300,12,445,1630
1,1400,14,445,1873
1,1400,14,445,1891
1,1400,14,445,1878
1,1400,14,445,3770
1,1400,14,445,6678
1,1500,17,445,2175
1,1500,17,445,2150
1,1500,17,445,2174
1,1500,17,445,2160
1,1500,17,445,2148
1,1600,19,445,2484
1,1600,19,445,5119
1,1600,19,445,6748
1,1600,19,445,2471
1,1600,19,445,2469
1,1700,22,445,2807
1,1700,22,445,2809
1,1700,22,445,3667
1,1700,22,445,9434
1,1700,22,445,2800
1,1800,24,445,3145
1,1800,24,445,3144
1,1800,24,445,3132
1,1800,24,445,4118
1,1800,24,445,5207
1,1900,27,445,4287
1,1900,27,445,3466
1,1900,27,445,3462
1,1900,27,445,3466
1,1900,27,445,9524
1,2000,30,445,5244
1,2000,30,445,3817
1,2000,30,445,3825
1,2000,30,445,5160
1,2000,30,445,9504
1,2100,33,445,4247
1,2100,33,445,4249
1,2100,33,445,4827
1,2100,33,445,11132
1,2100,33,445,4242
1,2200,36,445,4695
1,2200,36,445,7566
1,2200,36,445,9017
1,2200,36,445,4692
1,2200,36,445,4702
1,2300,40,445,12336
1,2300,40,445,5107
1,2300,40,445,5283
1,2300,40,445,8271
1,2300,40,445,8859
1,2400,43,445,6256
1,2400,43,445,7117
1,2400,43,445,8355
1,2400,43,445,6052
1,2400,43,445,6090
1,2500,47,445,9970
1,2500,47,445,6556
1,2500,47,445,6525
1,2500,47,445,12208
1,2500,47,445,6543
1,2600,51,445,7550
1,2600,51,445,10738
1,2600,51,445,7041
1,2600,51,445,7808
1,2600,51,445,9719
1,2700,55,445,7723
1,2700,55,445,9381
1,2700,55,445,9899
1,2700,55,445,8220
1,2700,55,445,11063
1,2800,59,445,7988
1,2800,59,445,9797
1,2800,59,445,15046
1,2800,59,445,7582
1,2800,59,445,15617
1,2900,64,445,8064
1,2900,64,445,15671
1,2900,64,445,8429
1,2900,64,445,10544
1,2900,64,445,11357
