size,heat,eps,threads,iterations,duration
50000,100.000000,0.050000,1,484,0.156000
50000,100.000000,0.050000,1,484,0.172000
50000,100.000000,0.050000,1,484,0.140000
50000,100.000000,0.050000,1,484,0.141000
50000,100.000000,0.050000,1,484,0.141000
50000,100.000000,0.050000,1,484,0.140000
50000,100.000000,0.050000,1,484,0.141000
50000,100.000000,0.050000,1,484,0.141000
50000,100.000000,0.050000,1,484,0.156000
50000,100.000000,0.050000,1,484,0.141000
100000,100.000000,0.050000,1,484,0.296000
100000,100.000000,0.050000,1,484,0.297000
100000,100.000000,0.050000,1,484,0.297000
100000,100.000000,0.050000,1,484,0.297000
100000,100.000000,0.050000,1,484,0.297000
100000,100.000000,0.050000,1,484,0.281000
100000,100.000000,0.050000,1,484,0.313000
100000,100.000000,0.050000,1,484,0.281000
100000,100.000000,0.050000,1,484,0.297000
100000,100.000000,0.050000,1,484,0.297000
150000,100.000000,0.050000,1,484,0.453000
150000,100.000000,0.050000,1,484,0.453000
150000,100.000000,0.050000,1,484,0.547000
150000,100.000000,0.050000,1,484,0.515000
150000,100.000000,0.050000,1,484,0.438000
150000,100.000000,0.050000,1,484,0.437000
150000,100.000000,0.050000,1,484,0.454000
150000,100.000000,0.050000,1,484,0.437000
150000,100.000000,0.050000,1,484,0.469000
150000,100.000000,0.050000,1,484,0.422000
200000,100.000000,0.050000,1,484,0.593000
200000,100.000000,0.050000,1,484,0.579000
200000,100.000000,0.050000,1,484,0.710000
200000,100.000000,0.050000,1,484,2.875000
200000,100.000000,0.050000,1,484,2.579000
200000,100.000000,0.050000,1,484,2.560000
200000,100.000000,0.050000,1,484,1.985000
200000,100.000000,0.050000,1,484,0.578000
200000,100.000000,0.050000,1,484,0.578000
200000,100.000000,0.050000,1,484,0.578000
250000,100.000000,0.050000,1,484,0.719000
250000,100.000000,0.050000,1,484,0.734000
250000,100.000000,0.050000,1,484,0.719000
250000,100.000000,0.050000,1,484,0.719000
250000,100.000000,0.050000,1,484,0.734000
250000,100.000000,0.050000,1,484,0.696000
250000,100.000000,0.050000,1,484,0.719000
250000,100.000000,0.050000,1,484,0.719000
250000,100.000000,0.050000,1,484,0.734000
250000,100.000000,0.050000,1,484,0.719000
300000,100.000000,0.050000,1,484,0.860000
300000,100.000000,0.050000,1,484,1.031000
300000,100.000000,0.050000,1,484,0.875000
300000,100.000000,0.050000,1,484,0.875000
300000,100.000000,0.050000,1,484,0.875000
300000,100.000000,0.050000,1,484,0.870000
300000,100.000000,0.050000,1,484,0.875000
300000,100.000000,0.050000,1,484,1.609000
300000,100.000000,0.050000,1,484,3.860000
300000,100.000000,0.050000,1,484,3.871000
350000,100.000000,0.050000,1,484,2.312000
350000,100.000000,0.050000,1,484,1.391000
350000,100.000000,0.050000,1,484,1.390000
350000,100.000000,0.050000,1,484,1.391000
350000,100.000000,0.050000,1,484,1.422000
350000,100.000000,0.050000,1,484,1.390000
350000,100.000000,0.050000,1,484,1.391000
350000,100.000000,0.050000,1,484,1.187000
350000,100.000000,0.050000,1,484,1.000000
350000,100.000000,0.050000,1,484,1.000000
400000,100.000000,0.050000,1,484,1.203000
400000,100.000000,0.050000,1,484,1.172000
400000,100.000000,0.050000,1,484,1.172000
400000,100.000000,0.050000,1,484,1.234000
400000,100.000000,0.050000,1,484,1.172000
400000,100.000000,0.050000,1,484,1.187000
400000,100.000000,0.050000,1,484,3.351000
400000,100.000000,0.050000,1,484,5.698000
400000,100.000000,0.050000,1,484,2.375000
400000,100.000000,0.050000,1,484,1.172000
450000,100.000000,0.050000,1,484,1.312000
450000,100.000000,0.050000,1,484,1.312000
450000,100.000000,0.050000,1,484,1.341000
450000,100.000000,0.050000,1,484,1.313000
450000,100.000000,0.050000,1,484,1.328000
450000,100.000000,0.050000,1,484,1.328000
450000,100.000000,0.050000,1,484,1.328000
450000,100.000000,0.050000,1,484,1.328000
450000,100.000000,0.050000,1,484,1.383000
450000,100.000000,0.050000,1,484,5.843000
500000,100.000000,0.050000,1,484,4.619000
500000,100.000000,0.050000,1,484,1.469000
500000,100.000000,0.050000,1,484,1.484000
500000,100.000000,0.050000,1,484,1.469000
500000,100.000000,0.050000,1,484,1.464000
500000,100.000000,0.050000,1,484,1.468000
500000,100.000000,0.050000,1,484,1.453000
500000,100.000000,0.050000,1,484,1.469000
500000,100.000000,0.050000,1,484,1.453000
500000,100.000000,0.050000,1,484,1.469000
550000,100.000000,0.050000,1,484,6.054000
550000,100.000000,0.050000,1,484,4.945000
550000,100.000000,0.050000,1,484,1.641000
550000,100.000000,0.050000,1,484,1.609000
550000,100.000000,0.050000,1,484,1.609000
550000,100.000000,0.050000,1,484,1.605000
550000,100.000000,0.050000,1,484,1.609000
550000,100.000000,0.050000,1,484,1.609000
550000,100.000000,0.050000,1,484,1.610000
550000,100.000000,0.050000,1,484,1.625000
600000,100.000000,0.050000,1,484,6.165000
600000,100.000000,0.050000,1,484,5.106000
600000,100.000000,0.050000,1,484,1.750000
600000,100.000000,0.050000,1,484,1.765000
600000,100.000000,0.050000,1,484,1.758000
600000,100.000000,0.050000,1,484,1.750000
600000,100.000000,0.050000,1,484,1.766000
600000,100.000000,0.050000,1,484,1.750000
600000,100.000000,0.050000,1,484,1.766000
600000,100.000000,0.050000,1,484,4.397000
650000,100.000000,0.050000,1,484,7.025000
650000,100.000000,0.050000,1,484,1.907000
650000,100.000000,0.050000,1,484,1.906000
650000,100.000000,0.050000,1,484,1.933000
650000,100.000000,0.050000,1,484,1.938000
650000,100.000000,0.050000,1,484,1.922000
650000,100.000000,0.050000,1,484,1.922000
650000,100.000000,0.050000,1,484,1.906000
650000,100.000000,0.050000,1,484,7.695000
650000,100.000000,0.050000,1,484,3.836000
700000,100.000000,0.050000,1,484,2.047000
700000,100.000000,0.050000,1,484,2.047000
700000,100.000000,0.050000,1,484,2.057000
700000,100.000000,0.050000,1,484,2.046000
700000,100.000000,0.050000,1,484,2.047000
700000,100.000000,0.050000,1,484,2.062000
700000,100.000000,0.050000,1,484,6.525000
700000,100.000000,0.050000,1,484,5.075000
700000,100.000000,0.050000,1,484,2.062000
700000,100.000000,0.050000,1,484,2.047000
750000,100.000000,0.050000,1,484,2.212000
750000,100.000000,0.050000,1,484,2.204000
750000,100.000000,0.050000,1,484,2.203000
750000,100.000000,0.050000,1,484,2.381000
750000,100.000000,0.050000,1,484,9.758000
750000,100.000000,0.050000,1,484,2.234000
750000,100.000000,0.050000,1,484,2.219000
750000,100.000000,0.050000,1,484,4.261000
750000,100.000000,0.050000,1,484,2.500000
750000,100.000000,0.050000,1,484,2.219000
800000,100.000000,0.050000,1,484,3.447000
800000,100.000000,0.050000,1,484,4.203000
800000,100.000000,0.050000,1,484,3.825000
800000,100.000000,0.050000,1,484,2.344000
800000,100.000000,0.050000,1,484,2.344000
800000,100.000000,0.050000,1,484,3.116000
800000,100.000000,0.050000,1,484,3.297000
800000,100.000000,0.050000,1,484,3.386000
800000,100.000000,0.050000,1,484,2.578000
800000,100.000000,0.050000,1,484,2.359000
850000,100.000000,0.050000,1,484,2.866000
850000,100.000000,0.050000,1,484,3.734000
850000,100.000000,0.050000,1,484,4.244000
850000,100.000000,0.050000,1,484,2.875000
850000,100.000000,0.050000,1,484,2.500000
850000,100.000000,0.050000,1,484,2.851000
850000,100.000000,0.050000,1,484,3.453000
850000,100.000000,0.050000,1,484,3.647000
850000,100.000000,0.050000,1,484,3.000000
850000,100.000000,0.050000,1,484,2.500000
900000,100.000000,0.050000,1,484,2.837000
900000,100.000000,0.050000,1,484,3.657000
900000,100.000000,0.050000,1,484,3.790000
900000,100.000000,0.050000,1,484,3.219000
900000,100.000000,0.050000,1,484,2.640000
900000,100.000000,0.050000,1,484,3.022000
900000,100.000000,0.050000,1,484,4.391000
900000,100.000000,0.050000,1,484,4.948000
900000,100.000000,0.050000,1,484,2.656000
900000,100.000000,0.050000,1,484,2.641000
950000,100.000000,0.050000,1,484,2.774000
950000,100.000000,0.050000,1,484,2.797000
950000,100.000000,0.050000,1,484,2.796000
950000,100.000000,0.050000,1,484,10.550000
950000,100.000000,0.050000,1,484,2.797000
950000,100.000000,0.050000,1,484,2.797000
950000,100.000000,0.050000,1,484,2.782000
950000,100.000000,0.050000,1,484,2.782000
950000,100.000000,0.050000,1,484,4.007000
950000,100.000000,0.050000,1,484,9.320000
1000000,100.000000,0.050000,1,484,2.953000
1000000,100.000000,0.050000,1,484,2.945000
1000000,100.000000,0.050000,1,484,2.953000
1000000,100.000000,0.050000,1,484,2.937000
1000000,100.000000,0.050000,1,484,7.041000
1000000,100.000000,0.050000,1,484,6.290000
1000000,100.000000,0.050000,1,484,2.938000
1000000,100.000000,0.050000,1,484,2.935000
1000000,100.000000,0.050000,1,484,2.938000
1000000,100.000000,0.050000,1,484,2.953000
1050000,100.000000,0.050000,1,484,10.846000
1050000,100.000000,0.050000,1,484,3.094000
1050000,100.000000,0.050000,1,484,3.077000
1050000,100.000000,0.050000,1,484,3.078000
1050000,100.000000,0.050000,1,484,3.078000
1050000,100.000000,0.050000,1,484,9.346000
1050000,100.000000,0.050000,1,484,4.547000
1050000,100.000000,0.050000,1,484,3.078000
1050000,100.000000,0.050000,1,484,3.117000
1050000,100.000000,0.050000,1,484,3.125000
1100000,100.000000,0.050000,1,484,5.492000
1100000,100.000000,0.050000,1,484,8.164000
1100000,100.000000,0.050000,1,484,3.235000
1100000,100.000000,0.050000,1,484,3.261000
1100000,100.000000,0.050000,1,484,3.235000
1100000,100.000000,0.050000,1,484,4.397000
1100000,100.000000,0.050000,1,484,9.525000
1100000,100.000000,0.050000,1,484,3.249000
